1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
526274, 1194008, 2265607, 9058702, 20542654, 40805271, 42182137, 53164051, 52619159, 21398173, 11956414, 7061493, 5887774, 1834363, 255317, 77753
9149788, 17773547, 22946265, 23785948, 43608136, 69176247, 72663308, 103891017, 55248775, 35914221, 34111528, 18752959, 10675065, 6528797, 1455479, 303507
6456869, 10039262, 16268575, 20649209, 34314468, 23931989, 39719819, 75408669, 57853559, 37099995, 29507816, 16034625, 8341981, 6904891, 2148394, 408292
14900895, 11908109, 35669786, 57125877, 77501295, 62529713, 69868076, 106943441, 65713800, 33910068, 61217182, 24491068, 10487868, 2538215, 726802, 208909
3963361, 5722863, 18743268, 25940741, 69727448, 46532286, 50843687, 73836286, 65282989, 55389089, 40836724, 22185252, 6039575, 2170450, 886834, 200826
57588132, 7365284, 7522832, 10265506, 23863817, 25634736, 39860606, 77155229, 48538561, 72242385, 65413344, 48071072, 23293800, 8421332, 4502687, 1185377
44786647, 3118277, 3250821, 5224327, 12812670, 13456210, 22202788, 52713192, 58226547, 67600044, 59356832, 33239781, 16225896, 8268718, 2830994, 976248
